,views,likes,dislikes,comment_count,comments_disabled,ratings_disabled,No_tags
0,1096327,33966,798,882,False,False,15
1,590101,735,904,0,True,False,19
2,473988,2011,243,149,False,False,14
3,1242680,70353,1624,2684,False,False,20
4,464015,492,293,66,False,False,11
5,6106669,98612,4185,4763,False,False,22
6,5718766,127477,7134,8063,False,False,18
7,10588371,132738,8812,10847,False,False,26
8,118223,520,53,23,False,False,21
9,969030,59798,1545,2404,False,False,23
10,632747,4330,2183,2869,False,False,23
11,2348107,32834,710,1743,False,False,22
12,156085,716,53,0,True,False,20
13,472413,2611,250,174,False,False,12
14,836006,24460,180,594,False,False,25
15,89531,238,59,18,False,False,28
16,344545,25717,417,2870,False,False,11
17,35885754,829362,61195,101117,False,False,22
18,209599,14070,448,1105,False,False,30
19,2418783,97187,6146,12703,False,False,4
20,2294242,14960,1361,913,False,False,13
21,1956925,9504,938,956,False,False,29
22,387221,2159,1214,711,False,False,18
23,176472,588,52,23,False,False,3
24,238637,7975,368,1274,False,False,7
25,85432,114,91,13,False,False,28
26,249423,7861,68,364,False,False,21
27,256199,318,123,35,False,False,20
28,137438,3926,249,131,False,False,8
29,261202,1971,126,201,False,False,22
30,655660,8505,868,1361,False,False,15
31,423009,1514,347,118,False,False,7
32,33533,0,0,10,False,True,14
33,75834,160,15,9,False,False,13
34,156063,5406,534,1047,False,False,22
35,1287771,52194,253,3122,False,False,21
36,56430,244,94,43,False,False,24
37,793778,21956,1590,1661,False,False,35
38,309490,1560,200,108,False,False,33
39,334780,1307,230,744,False,False,12
40,23932,0,0,7,False,True,18
41,54861,247,20,10,False,False,28
42,1174353,20095,2517,2250,False,False,16
43,127517,3676,381,2169,False,False,14
44,255707,2267,121,338,False,False,21
45,97522,838,189,49,False,False,24
46,692359,2523,618,194,False,False,7
47,47352,2240,31,543,False,False,72
48,114466,1580,163,255,False,False,16
49,109594,790,189,145,False,False,10
50,103239,7191,91,746,False,False,25
51,150806,1311,508,740,False,False,24
52,170707,1152,178,166,False,False,14
53,77888,889,75,44,False,False,18
54,779856,14281,490,1021,False,False,10
55,154502,543,15,15,False,False,29
56,433053,938,298,119,False,False,29
57,1025941,6019,234,280,False,False,18
58,1449239,120289,3108,3296,False,False,16
59,93662,33,5,10,False,False,11
60,696515,12397,449,385,False,False,19
61,74888,663,71,14,False,False,17
62,3153224,28450,2285,3312,False,False,20
63,162637,1302,228,408,False,False,32
64,544102,13384,438,409,False,False,17
65,52312,547,25,59,False,False,6
66,90826,104,85,20,False,False,15
67,23114,0,0,0,True,True,1
68,357019,2487,219,326,False,False,23
69,117022,466,135,24,False,False,20
70,32811,48,27,1,False,False,15
71,263844,9983,677,514,False,False,23
72,202926,2057,244,896,False,False,33
73,1353040,53866,1111,2232,False,False,8
74,24700,360,30,13,False,False,14
75,24276,1,1,1,False,False,35
76,58675,226,23,30,False,False,24
77,73579,2095,84,547,False,False,11
78,65054,349,28,0,True,False,31
79,132421,3509,89,294,False,False,23
80,58019,87,31,0,True,False,16
81,12790,234,22,46,False,False,29
82,153384,29321,750,1787,False,False,39
83,75843,55,35,4,False,False,20
84,269593,3931,390,640,False,False,13
85,868921,34242,1317,4604,False,False,10
86,33523622,1634126,21082,85067,False,False,10
87,209606,3739,118,245,False,False,1
88,37616,17,0,5,False,False,21
89,482839,3978,248,848,False,False,23
90,181117,3218,222,517,False,False,24
91,146859,421,52,5,False,False,10
92,108414,3771,5349,2491,False,False,25
93,78447,241,11,13,False,False,10
94,218178,1373,214,118,False,False,28
95,103665,566,66,76,False,False,8
96,2095731,132237,1989,17518,False,False,14
97,1014724,25413,891,1030,False,False,45
98,277050,2131,113,538,False,False,18
99,109580,391,73,18,False,False,20
100,308394,5415,1833,568,False,False,10
101,298998,1260,371,0,True,False,9
102,748248,18891,1001,2078,False,False,8
103,17006,287,2,11,False,False,23
104,377572,1717,170,55,False,False,19
